name,date,artist,album,youtube,note,introduction
望春風,1933,,,https://www.youtube.com/watch?v=rgms5BtpUAE,,
燒肉粽,1949,郭金發,,https://www.youtube.com/watch?v=m45fUda0xP4,,台灣戰後時期的一首台語流行歌曲，創作、發表於1949年（民國38年），由張邱東松填詞、作曲。原唱不詳，是郭金發的成名曲。〈賣肉粽〉創作時，臺灣戰後經濟蕭條，通貨膨脹率和失業率均創下新高，歌詞充分反應出了當時民眾艱困的生活處境，廣受社會大眾好評；但是也因為歌詞描述戰後台灣的民生凋敝，太過負面、悲情，而被行政院新聞局列為禁歌。郭金發改歌名為〈燒肉粽〉，並把第一句歌詞「自悲自嘆歹命人」改成「想起細漢真活動」，重新翻唱出版。
綠島小夜曲,1962,紫薇,,https://www.youtube.com/watch?v=YPeRYxhUz_k,,本曲於1954年，由在中國廣播公司工作的周藍萍作曲、潘英傑作詞，描寫戀愛中的男女患得患失、起伏不定的心情；最早由晉秦灌錄，金錢唱片公司發行。https://zh.wikipedia.org/zh-tw/%E7%B6%A0%E5%B3%B6%E5%B0%8F%E5%A4%9C%E6%9B%B2
你怎麼說,1972,鄧麗君,,https://www.youtube.com/watch?v=et82ZIzMwOY,原唱：陳依齡,
熱情的沙漠,1973,歐陽菲菲,,https://www.youtube.com/watch?v=PwmwtCQEcJ0,,
大眼睛,1975,高凌風,,https://www.youtube.com/watch?v=CKp0ObvXoUo,,
你儂我儂,1976,江蕾,,https://www.youtube.com/watch?v=00v-I0RRvEk,,「你儂我儂」形容兩個人感情深厚、難分難捨。這句詞源自元代管道昇的《我儂詞》，後來由音樂家李抱忱改編為同名經典歌曲，象徵至死不渝的愛。
小雨打在我的身上,1977,劉文正,,https://www.youtube.com/watch?v=t099WJwf3Fk,,
姑娘的酒渦,1977,高凌風,,https://www.youtube.com/watch?v=dUlXfeVdO5Q,,
捉泥鰍,1978,包美聖,,https://www.youtube.com/watch?v=AdbqRQfaOz8,,
雨中即景,1978,王夢麟,,https://www.youtube.com/watch?v=5npJJEuylhQ,,
橄欖樹,1979,齊豫,,https://www.youtube.com/watch?v=LZb8fJZFhlo,,
阿美阿美,1979,王夢麟,,https://www.youtube.com/watch?v=NoY2m1iSTsw,,
小城故事,1979,鄧麗君,,https://www.youtube.com/watch?v=n-jHlCu0k2I,,
蘭花草,1979,包美聖,,https://www.youtube.com/watch?v=_y4FKV9OyUs,原唱：銀霞,
榕樹下,1979,余天,,https://www.youtube.com/watch?v=RKv1WkSeQs4,,
恰似你的溫柔,1980,蔡琴,,https://www.youtube.com/watch?v=Yvg3L7RbFHY,1996年版,
秋蟬,1980,楊芳儀、徐曉菁,,https://www.youtube.com/watch?v=EcXd1XI4eIA,,
我的小妹,1980,江玲,,https://www.youtube.com/watch?v=Zhtu5Y-XTPU,,
天涼好個秋,1980,鮑正芳,,https://www.youtube.com/watch?v=IH4lmBfRvho,,
廟會,1980,王夢麟,,https://www.youtube.com/watch?v=3o8o9xuUyKs,,
三月裡的小雨,1981,劉文正,,https://www.youtube.com/watch?v=67fJktZWFQ8,,
童年,1981,張艾嘉,,https://www.youtube.com/watch?v=QDLpunirEiQ,,
朋友歌,1981,陶大偉、孫越,,https://www.youtube.com/watch?v=k8uGgSRZIg4,,
不一樣,1981,高凌風,,https://www.youtube.com/watch?v=c2hWGIiifxc,,
一串心,1981,沈雁,,https://www.youtube.com/watch?v=waEGWDAqMwc,,
月琴,1981,鄭怡,,https://www.youtube.com/watch?v=Psk4Zf37aHs,,
惱人的秋風,1981,高凌風,,https://www.youtube.com/watch?v=q47GAtHRW1w,,
鹿港小鎮,1982,羅大佑,,https://www.youtube.com/watch?v=Xgjny7YFMD4,,
光陰的故事,1982,羅大佑,,https://www.youtube.com/watch?v=lmwGAOpqP1s,,
就在今夜,1982,丘丘合唱團,,https://www.youtube.com/watch?v=NUPOUgQxHHU,,
心事誰人知,1982,沈文程,,https://www.youtube.com/watch?v=Xcf3ux4QSUk,,
燃燒吧！火鳥,1982,高凌風,,https://www.youtube.com/watch?v=3GByUPh5ywMM,,
天天天藍,1982,潘越雲,,https://www.youtube.com/watch?v=j5Dt5MhlPsM,,
楚留香,1982,鄭少秋,,https://www.youtube.com/watch?v=srO0RcqWTnU,,
一樣的月光,1983,蘇芮,,https://www.youtube.com/watch?v=ufAtOoMazjw,,
星星知我心,1983,蔡幸娟,,https://www.youtube.com/watch?v=XQzdLAoN-QE,,
野百合也有春天,1983,潘越雲,,https://www.youtube.com/watch?v=GSoLwHTXRmMM,,
結束,1983,鄭怡、李宗盛,,https://www.youtube.com/watch?v=4dWLRoBpz4w,,
迴,1984,李恕權,,https://www.youtube.com/watch?v=F2eeOgiO4FQ,,
兩望煙水裡,1984,關正傑、關菊英,,https://www.youtube.com/watch?v=F949y103OHo,[天龍八部之脈神劍]主題曲,
萬水千山縱橫,1984,關正傑,,https://www.youtube.com/watch?v=ZtHs8AhXX2k,[天龍八部之虛竹傳奇]主題曲,
涼呀涼,1984,鳳飛飛,仲夏,https://www.youtube.com/watch?v=8EeiT8EAoPA,,
昨夜星辰,1984,林淑蓉,,https://www.youtube.com/watch?v=i8jh0K5gt8s,,
什麼都不必說,1984,比莉,,https://www.youtube.com/watch?v=Mnwvvf_3URc,,
台北的天空,1984,王芷蕾,,https://www.youtube.com/watch?v=ZGRrJY7VELU,,
神雕俠侶,1984,金佩姍、張勇強,,https://www.youtube.com/watch?v=muv1IavwGMw,,
一剪梅,1984,費玉清,,https://www.youtube.com/watch?v=hsgnzIQErTo,,
三百六十五里路,1984,文章,,https://www.youtube.com/watch?v=6_x61cKW0FU,,
激情過後,1985,張清芳,,https://www.youtube.com/watch?v=1rpbv_mcBWc,,
忙與盲,1985,張艾嘉,,https://www.youtube.com/watch?v=IN34o6E6iIE,,
明天會更好,1985,群星,,https://www.youtube.com/watch?v=s6T4DXRKYHM,,
一代女皇,1985,金佩姍,,https://www.youtube.com/watch?v=4T0PVd74-VE,,
機場,1985,薛岳,,https://www.youtube.com/watch?v=t8Pd-DWnGQM,,
親愛的小孩,1985,蘇芮,,https://www.youtube.com/watch?v=Jq5MzlkXXfE,,
針線情,1985,李茂山,,https://www.youtube.com/watch?v=YED6nuecnyM,,
我只在乎你,1986,鄧麗君,,https://www.youtube.com/watch?v=NRTVouZ3u4w,,
我還年輕,1986,張清芳,,https://www.youtube.com/watch?v=IqhWgZ6V-wA,,
